Country;City;Latitude;Longitude;Time_zone;Elevation
INDONESIA;Pelabuhan Ratu;-7.029;106.558;7;52
INDONESIA;Balai Rukyat Condro Dipo;-7.17;112.617;7;120
AFGHANISTAN;Kabul;34.529;69.172;4;1800
AFGHANISTAN;Kandahar;31.5;65.850;4;0
AFGHANISTAN;Mazar-i-sharif;36.7;67.217;4;0
ALBANIA;Tirana;41.33;19.820;1;120
ALGERIA;In Amenas;28.05;9.633;1;131
ALGERIA;Beni Isguen;32.472;3.697;1;0
ALGERIA;Hassi Messaoud;31.667;6.150;1;0
ALGERIA;Algiers;36.763;3.051;1;488
ALGERIA;Annaba;36.817;7.817;1;0
ALGERIA;Bechar;31.65;-2.267;1;0
ALGERIA;Biskra;34.8;5.733;1;0
ALGERIA;Constantine;36.283;6.633;1;0
ALGERIA;Djanet;24.467;9.483;1;0
ALGERIA;Ghardaia;32.383;3.800;1;0
ALGERIA;Oran;35.55;-0.533;1;0
ALGERIA;Tamanrasset;22.817;5.467;1;0
ALGERIA;Tilimsen;35.017;-1.467;1;0
ANGOLA;Huambo;-12.8;15.750;1;0
ANGOLA;Luanda;-8.85;13.233;1;0
ARGENTINA;Bahia Blanca;-38.733;-62.150;-3;0
ARGENTINA;Mar Del Plata;-37.933;-57.567;-3;0
ARGENTINA;Santa Fe;-31.467;-60.850;-3;0
ARGENTINA;Rio Gallegos;-51.617;-69.333;-3;0
ARGENTINA;San Juan;-31.567;-68.417;-3;0
ARGENTINA;Paso Libres;-29.683;-57.150;-3;0
ARGENTINA;San Luis;-33.267;-66.367;-3;0
ARGENTINA;San Rafael;-34.583;-68.400;-3;0
ARGENTINA;La Rioja;-29.383;-66.783;-3;0
ARGENTINA;Comodoro Riva;-45.783;-67.467;-3;0
ARGENTINA;Santa Rosa;-36.567;-64.267;-3;0
ARGENTINA;Catamarca;-28.45;-65.783;-3;0
ARGENTINA;Cordoba;-31.317;-64.200;-3;0
ARGENTINA;Corrientes;-27.45;-58.767;-3;0
ARGENTINA;Iguazu;-25.75;-54.467;-3;0
ARGENTINA;Jujuy;-24.233;-65.250;-3;0
ARGENTINA;Mendoza;-32.833;-68.783;-3;0
ARGENTINA;Neuquen;-38.95;-68.150;-3;0
ARGENTINA;Parana;-31.8;-60.483;-3;0
ARGENTINA;Posadas;-27.383;-55.967;-3;0
ARGENTINA;Rosario;-32.9;-60.783;-3;0
ARGENTINA;Salta;-24.85;-65.467;-3;0
ARGENTINA;Trelew;-43.233;-65.317;-3;0
ARGENTINA;Tucuman;-26.833;-65.200;-3;0
ARGENTINA;Viedma;-40.85;-63.017;-3;0
ARUBA;Aruba;12.5;-70.017;-4;0
AUSTRALIA;Mount Isa;-20.65;139.483;10;0
AUSTRALIA;Alice Springs;-23.8;133.883;9;0
AUSTRALIA;Adelaide;-34.95;138.533;9;0
AUSTRALIA;Avalon;-38.033;144.467;10;0
AUSTRALIA;Cairns;-16.883;145.750;10;0
AUSTRALIA;Canberra;-35.317;149.200;10;0
AUSTRALIA;Cowra;-33.85;148.650;10;0
AUSTRALIA;Cunnamulla;-28.033;145.617;10;0
AUSTRALIA;Darwin;-12.417;130.867;9;0
AUSTRALIA;Dubbo;-32.217;148.583;10;0
AUSTRALIA;Geraldton;-28.8;114.700;8;0
AUSTRALIA;Hobart;-42.833;147.517;10;0
AUSTRALIA;Launceston;-41.55;147.217;10;0
AUSTRALIA;Learmonth;-22.233;114.083;8;0
AUSTRALIA;Mackay;-21.167;149.183;10;0
AUSTRALIA;Meekatharra;-26.617;118.550;8;0
AUSTRALIA;Melbourne;-37.667;144.833;10;0
AUSTRALIA;Newcastle;-32.8;151.833;10;0
AUSTRALIA;Perth;-31.933;115.967;8;0
AUSTRALIA;Richmond;-20.7;143.117;10;0
AUSTRALIA;Sydney;-33.95;151.183;10;0
AUSTRALIA;Townsville;-19.25;146.833;10;0
AUSTRIA;Graz;47;15.433;1;0
AUSTRIA;Innsbruck;47.267;11.350;1;0
AUSTRIA;Klagenfurt;46.65;14.350;1;0
AUSTRIA;Linz;48.233;14.200;1;0
AUSTRIA;Vienna;48.117;16.567;1;0
AZERBAIJAN;Baku;40.416;49.824;4;70
BAHAMAS;Cat Cay;25.5;-79.500;-5;0
BAHAMAS;West End;26.683;-78.983;-5;0
BAHAMAS;Rock Sound;24.9;-76.183;-5;0
BAHAMAS;Freeport;26.55;-78.700;-5;0
BAHAMAS;Nassau;25.033;-77.467;-5;0
BAHRAIN;Hawar;26.661;50.742;3;10
BAHRAIN;Manamah;26.225;50.562;3;10
BANGLADESH;Chittagong;22.25;91.833;6;0
BANGLADESH;Dhaka;23.769;90.338;6;10
BARBADOS;Bridgetown;13.067;-59.500;-4;0
BELARUS;Gomel;52.425;30.961;2;150
BELARUS;Hrodna;53.679;23.837;2;150
BELARUS;Magilev;53.911;30.342;2;200
BELARUS;Minsk;53.902;27.469;2;250
BELARUS;Vicebsk;55.188;30.204;2;200
BELGIUM;La Louviere;50.478;4.188;1;50
BELGIUM;Aalst;50.938;4.041;1;50
BELGIUM;Antwerp;51.221;4.400;1;50
BELGIUM;Bruges;51.209;3.225;1;50
BELGIUM;Brussels;50.846;4.355;1;150
BELGIUM;Charleroi;50.411;4.444;1;100
BELGIUM;Genk;50.964;5.500;1;50
BELGIUM;Gent;51.054;3.721;1;50
BELGIUM;Hasselt;50.93;5.330;1;50
BELGIUM;Kortrijk;50.828;3.265;1;150
BELGIUM;Leuven;50.879;4.702;1;50
BELGIUM;Liege;50.641;5.572;1;100
BELGIUM;Mechelen;51.029;4.478;1;50
BELGIUM;Mons;50.453;3.949;1;50
BELGIUM;Namur;50.464;4.861;1;100
BELGIUM;Oostende;51.226;2.913;1;50
BELGIUM;Roeselare;50.945;3.124;1;50
BELGIUM;Saint-Nicolas;51.164;4.139;1;50
BELGIUM;Seraing;50.599;5.512;1;150
BELGIUM;Tournai;50.606;3.388;1;50
BENIN;Porto Novo;6.497;2.606;1;0
BENIN;Cotonou;6.35;2.383;1;30
BERMUDA;Hamilton;32.367;-64.683;-4;0
BOLIVIA;Santa Cruz;-17.8;-63.167;-4;0
BOLIVIA;La Paz;-16.5;-68.200;-4;0
BOLIVIA;Cochabamba;-17.433;-66.167;-4;0
BOLIVIA;Trinidad;-14.683;-64.833;-4;0
BOSNIA;Sarajevo;43.867;18.433;1;0
BOTSWANA;Francistown;-21.167;27.483;2;0
BRAZIL;Porto Alegre;-30;-51.167;-3;0
BRAZIL;Rio Branco;-21.183;-57.183;-3;0
BRAZIL;Montes Claros;-16.7;-43.817;-3;0
BRAZIL;Rio De Janeiro;-22.8;-43.250;-3;0
BRAZIL;Cruzeiro Do Sul;-7.583;-72.783;-3;0
BRAZIL;Iguassu Falls;-25.517;-54.583;-3;0
BRAZIL;Campo Grande;-20.467;-54.667;-3;0
BRAZIL;Belo Horizonte;-19.75;-43.967;-3;0
BRAZIL;Sao Jose D;-23.233;-45.867;-3;0
BRAZIL;Sao Luiz;-2.583;-44.233;-3;0
BRAZIL;Santa Maria;-29.717;-53.683;-3;0
BRAZIL;Sao Paulo;-23;-47.133;-3;0
BRAZIL;Ponta Pora;-22.533;-55.700;-3;0
BRAZIL;Porto Velho;-8.733;-63.900;-3;0
BRAZIL;Boa Vista;2.833;-60.667;-3;0
BRAZIL;Aracatuba;-21.15;-50.433;-3;0
BRAZIL;Belem;-1.383;-48.483;-3;0
BRAZIL;Brasilia;-15.867;-47.917;-3;0
BRAZIL;Crisciuma;-28.717;-49.417;-3;0
BRAZIL;Cuiaba;-15.65;-56.117;-3;0
BRAZIL;Curitiba;-25.533;-49.183;-3;0
BRAZIL;Florianopolis;-27.667;-48.550;-3;0
BRAZIL;Fortaleza;-3.783;-38.533;-3;0
BRAZIL;Goiania;-16.633;-49.217;-3;0
BRAZIL;Ipatinga;-79.5;-42.533;-3;0
BRAZIL;Londrina;-23.333;-51.133;-3;0
